Site_Name,Latitude,Longitude,C14_date,Std_dev,Lab_Code,Material_Dated,Reference,cal_curve,Orginal_Compiler,Notes
SITIO ARQUEOLÓGICO USHUKMARCA,-8.128088352,-77.39731901,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHUCAQUE,-8.044137688,-77.43231382,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO EL ALTO DEL CERRO,-8.119979804,-77.39144825,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUAYLILLAS 1,-8.209445846,-77.32977603,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO LA TORRE,-6.425022464,-78.73336744,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MASIHACHO,-6.068486958,-78.74655933,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO NUEVO SANTA ROSA,-5.283520629,-78.74859701,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO GENARO,-6.673296322,-78.75584284,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO TACAMACHE,-6.67689615,-78.75632369,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO LA TORRE CHIGUIRIP,-6.422297591,-78.73449095,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO PINTURA RUPESTRE DEL ABRIGO BARBOZA,-6.345843187,-78.73232446,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO PINTURAS RUPESTRES DE CULLA,-6.3484579,-78.75359933,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TORRE DE REJOPAMPA O LAS CASITAS DE REJOPAMPA,-6.450540938,-78.74576103,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO CABORAN,-6.352768831,-78.71215538,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CERRO COLORADO O PINTURAS RUPESTRES DE CERRO COLORADO,-6.353934701,-78.7326414,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO CONDORCAGA CERRO CHURRUCANCHA O MARCOPAMPA,-6.515019646,-78.72393734,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CUEVA DE LAS ANIMAS,-6.578501152,-78.71395998,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CUEVAS DE COCHE CORRAL,-6.580897098,-78.70423224,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ESTRUCTURA FUNERARIA DE CHIGUIRIP,-6.424679984,-78.73563705,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO ESTRUCTURAS DE COCHE CORRAL,-6.578343956,-78.7112129,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUACA CONGORE,-6.335989984,-78.72603425,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO LA MINA,-6.369391338,-78.72227348,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO VISTA ALEGRE,-6.368151725,-78.72814277,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ESPIRITUYOQ,-12.74953482,-73.97119554,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO JASAPATA,-14.27551864,-73.96982384,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO WASWALACA Y LARIGOTO,-14.32571064,-73.96135245,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHAUPI ORQO,-14.28393591,-73.9637043,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO LIMACHACALLEQASA,-13.92865152,-74.02112115,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO LLULLUPATA,-13.86297776,-73.99420136,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO LLULLUPATAMACHAY,-13.85944747,-73.99314319,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO LOMAS 1,-13.82994499,-73.95163634,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO LOMAS 2,-13.82656396,-73.95168848,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MILLYMACHAY,-13.85503115,-73.95752907,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MILLYPAMPA,-13.85747227,-73.95331731,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO MUYUMUYUPATA,-13.85496356,-73.96718017,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO AYAMAYLLANQAMACHAY,-13.89029929,-74.01194465,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ÑAUPAHATOS,-13.85547536,-73.96207028,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PALLQA 1,-13.9691589,-73.97824518,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PALLQA 2,-13.97232267,-73.9781294,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PALLQA 3,-13.97889264,-73.95835338,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PALLQA 4,-13.98152299,-73.95823971,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PALLQA 5,-13.98104797,-73.95920467,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PALLQA 6,-13.98336135,-73.95896282,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QASA MACHAY,-13.8408892,-73.97415385,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RAQARAQAY 2,-13.84313757,-73.95848882,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RAQARAQAY 2,-13.83991804,-73.96679324,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RAQATINQA QATA,-13.84047896,-73.97118564,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RAQATINQAQASA,-13.83950996,-73.96864551,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SAN CRISTOBAL 1,-13.84507195,-73.95840619,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SAN CRISTOBAL 2,-13.84268269,-73.96208079,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SINIQAKUCHO,-13.91211882,-74.01514699,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHAKIQUCHA 1,-13.95377842,-74.01497968,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHAKIQUCHA 2,-13.95334817,-74.01589795,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHAKIQUCHA 3,-13.95744545,-74.0185744,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHAKIQUCHAMACHAY 1,-13.95296629,-74.01536267,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHAKIQUCHAMACHAY 2,-13.95245671,-74.01455022,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHAKIQUCHAMACHAY 3,-13.95314388,-74.01456581,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHINCHEROS QASA 1,-13.80895463,-73.97792937,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHINCHEROS QASA 2,-13.81111563,-73.98015875,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHIWANQUCHA,-13.927722,-74.01929239,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHUCHKA PAMPA 1,-13.96998071,-73.99319252,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHUCHKA PAMPA 2,-13.96965237,-73.99249963,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ETUNQAPATA 1,-13.84537643,-73.95560132,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ETUNQAPATA 2,-13.84565234,-73.95670114,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO GENTIL GUITARRA,-13.85573791,-73.95577711,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HORNOCHAYUQ,-13.83930034,-73.97039512,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUAYA,-13.85327427,-73.95259589,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUALLHUAY,-14.2809254,-73.97413766,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO PUKULLO,-14.3680487,-73.95558388,NA,NA,NA,NA,SIGDA,,Sales,
ZONA ARQUEOLÓGICA MONUMENTAL USHNU DE YANACOCHA,-13.04271252,-74.07719502,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO APACHETA CHILLHUAS,-13.03433324,-74.0602304,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO APACHETA YANACOCHA,-13.03454837,-74.06721967,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO INCAPAQCHA II,-14.51189376,-74.05917045,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ARRAYAN 1,-13.75823712,-74.10135059,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ARRAYAN 2,-13.75655879,-74.10226343,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ARRAYAN 4,-13.75272943,-74.08859844,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ARRAYAN 5,-13.75233118,-74.08847974,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MACHAYPUNKU,-13.96683576,-74.02905121,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ÑAUPALLAJTA,-13.78674667,-74.03523941,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PAMPAWASI,-14.05769292,-74.04182944,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PIRWACHU PATA,-13.76506503,-74.03722452,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QACHUTUNA 1,-13.78509252,-74.03302612,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QACHUTUNA 2,-13.7850748,-74.0331187,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QACHUTUNA 3,-13.78487717,-74.03344327,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QACHUTUNA 4,-13.78612143,-74.03257787,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QARANQAQASA 1,-14.04685058,-74.0435137,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QARANQAQASA 2,-14.04531322,-74.04340895,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QARANQASA PAMPA,-14.01441508,-74.03972215,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QASAMACHAY,-14.02795044,-74.04688867,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QUCHAMACHAY 1,-13.78727075,-74.03516326,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QUCHAMACHAY 2,-13.78655728,-74.03536044,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QYULLAQASA,-14.01568484,-74.08276463,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RAQA RAQAYPATA,-13.75822362,-74.04022152,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SALLQA DE ANTAPY 1,-13.76567115,-74.09700258,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SALLQA DE ANTAPY 2,-13.7655595,-74.09614279,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SALLQA DE SUYO QAQA 2,-13.77870174,-74.09025539,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SALLQA SUYU 1,-13.78090361,-74.08912758,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SANQASANQA 1,-14.08317644,-74.0343876,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SANQASANQA 2,-14.08201029,-74.03216031,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SUNIBA,-13.75471513,-74.05410959,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SUYO QAQA 1,-13.76623445,-74.06860379,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SUYO QAQA 2,-13.76655908,-74.06838051,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SUYO QAQA 3,-13.76747843,-74.06762764,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SUYO QAQA 4,-13.77408743,-74.07000645,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SUYO QAQA 5,-13.77411692,-74.07303108,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SUYO QAQA 6,-13.77327948,-74.07633662,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SUYO QAQA 7,-13.77305065,-74.07800252,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SUYO QAQA 8,-13.77417755,-74.0795521,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TINKACHAWAYQU,-13.76238128,-74.06816581,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TINKAPUNKU,-13.74031322,-74.05189224,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TULLPA,-14.08184786,-74.0322351,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO UCHUY WASWANTO,-13.75524137,-74.04988984,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WAMANCRUZ KORRAL,-13.98355618,-74.06457911,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WAMANCRUZMACHAY,-13.99035872,-74.044655,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WAMANCRUZPAMPA,-13.98478691,-74.06487966,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WARMICHAYUQ,-13.97201602,-74.06826404,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WASWANTO 1,-13.74297709,-74.04869996,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WASWANTO 2,-13.74860055,-74.04867726,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WASWANTO 3,-13.74898824,-74.04605824,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WINCHUCHU,-13.75433893,-74.05502678,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHALLHUAMAYO,-14.00911161,-74.05673497,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHIQTA 1,-13.77290539,-74.06823513,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHIQTA 2,-13.77176567,-74.06809165,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHIQTA 3,-13.77200133,-74.06824796,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHIQTA 4,-13.77194768,-74.06840542,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHIQTA 5,-13.77200066,-74.06807222,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHIQTA 6,-13.77192763,-74.06788751,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CUCHILLUCHA,-14.09239821,-74.03895235,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ANTAPY 1,-13.77319038,-74.07187849,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ANTAPY 2,-13.75771308,-74.10144508,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUANCAPI,-13.75614406,-74.06846797,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUANCAPI PATA,-13.75097175,-74.0682572,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO INCHUCHUWAYQO,-13.75225099,-74.05753241,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RUNAYRUMI,-12.75770686,-74.03623434,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PUKARAY,-13.16187131,-74.22177583,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CONDORMARCA,-13.0143017,-74.16748281,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO OSQONTA I,-14.29595719,-74.18628223,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CONOCA ORQO 2,-14.04081362,-74.15587068,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUAMANILLO,-14.2171657,-74.20806653,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO INTIHUATANA,-12.79528166,-74.20935338,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO JARQOCHAPATA,-12.64455589,-74.14131392,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO JATUNORQO,-12.64350853,-74.15880281,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MINASQASA,-12.81681643,-74.22032472,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ATONJAY TOROTORO,-12.7179238,-74.14162986,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO MOSOQLLACTA,-12.67272303,-74.2921807,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO AYAMACHAY,-12.81882194,-74.21362908,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO AYARANRA,-12.79379506,-74.24510548,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO AYAURQOPAMPA,-12.67206992,-74.28464955,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PATALOMA,-12.78643732,-74.20895712,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PUCAQASA,-12.62996436,-74.15335961,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO PUCURUCUCHO,-12.79698658,-74.2110249,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO QATUNRUMI,-12.8115071,-74.21672921,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO QUISPIPUKIO,-12.67159147,-74.28831605,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RANRACANCHA,-12.79746689,-74.21441393,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RAQAYPATA 1,-12.72997559,-74.22635695,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO RAQAYPATA 2,-12.72823555,-74.22500822,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RUMICHACA,-12.64170711,-74.17259256,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RUMISONQO,-12.64934578,-74.1461965,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO SAN JOSE DE SECCE,-12.76413819,-74.25195532,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO SAÑOQ,-12.70498633,-74.26569522,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SINFAHUARCUNA YAHUAS,-12.7194911,-74.19743075,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TINAQERIA,-12.80355647,-74.21281034,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WISKARANGA,-12.80473193,-74.2128067,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO YAHUAS,-12.72065344,-74.19906658,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO YANAUCHCO,-12.81981947,-74.21460269,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CANCHAHUASI,-12.61564094,-74.14743157,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO CHACA,-12.78214823,-74.207911,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO CHOCAY,-12.7884107,-74.24677063,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHOCCPE,-12.64017881,-74.13549096,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CHUPARAJAY,-12.6375528,-74.15688873,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CUTECCACCA,-12.74394961,-74.22460123,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HIERBABUENA,-12.61857899,-74.1500734,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HIERBABUENAYOC,-12.62404574,-74.15174944,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUACHUAQASA,-12.6700144,-74.28692989,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO HUACHUAQASA 2,-12.66954284,-74.28642471,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUAQOTOQASA,-12.73369524,-74.23060119,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUAYTAHUILLKA,-12.70632489,-74.29242859,NA,NA,NA,NA,SIGDA,,Sales,
ELEMENTO ARQUEOLÓGICO AISLADO INCA CHACA,-12.78140651,-74.20782118,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MAYU ORCCO,-13.51976197,-73.75437658,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO KIMSACRUZ,-13.75922013,-73.62631653,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CONTAY PAMPAS,-13.7188943,-73.69487502,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO ESTRIBO PUENTE CONTAY PAMPAS,-13.73226076,-73.67211758,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO QONANI O HUAYLLACHA,-14.19057578,-73.68575145,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WACHWALLA,-13.92790224,-73.75049965,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUARAYUC PAMPA I,-14.70885852,-73.74604174,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUARAYUC PAMPA II,-14.70876712,-73.74585652,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO ARCU MACHAY,-13.7741436,-73.69929521,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CABRA MACHAY,-13.78369526,-73.61097737,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO RANGRA ORJO,-13.77442927,-73.63192495,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SAN ANTONIO DE CACHI,-13.76997323,-73.60464924,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SAN JUAN DE CCAPCCA,-13.79133874,-73.66239598,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO SAN JUAN DE CULA,-13.79291678,-73.6666603,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO SUNHUAYO,-13.7609676,-73.62681498,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO TALLACCACHI,-13.76805964,-73.60515075,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TANMANI,-13.78036342,-73.60367194,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO TORAZA,-13.77233444,-73.60656818,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO WAIKIMARKA,-13.76917859,-73.70405804,NA,NA,NA,NA,SIGDA,,Sales,
PAISAJE CULTURAL ARQUEOLÓGICO CERRO AURCCIRACCA O MUYUMUYO,-13.77675408,-73.60802179,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO CERRO PUKLLAY,-13.8032732,-73.6364004,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO APACHETA,-13.78316869,-73.62667611,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO HUAMPO I,-13.75849687,-73.60538314,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO INGIRIA MACHAY,-13.78500922,-73.62279921,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO KUNKAPAMPA,-13.88195254,-73.76858676,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO LEJCHAPATA,-13.79624476,-73.75658713,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MARKAPATA,-14.0618009,-73.63149329,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MUCHKAPATA,-13.86998511,-73.71619531,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MUYOMUYO,-13.80662283,-73.77273892,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MUYOMUYO,-13.95015319,-73.74760312,NA,NA,NA,NA,SIGDA,,Sales,
SITIO ARQUEOLÓGICO MUYOMUYO DE CHILCAYOC,-13.87505033,-73.720174,NA,NA,NA,NA,SIGDA,,Sales,
